rank,gene,tier,relation,confidence,biomarker_potential,score,abs_fold_change,known_sonfh_known_genes,known_jia2023_known_genes
1,TSTA3,Tier 1,direct,high,strong,0.7424,1.744369466666666,,
2,BPGM,Tier 1,direct,high,strong,0.6801,3.3879618999999996,1,
3,PIP5K1B,Tier 1,direct,high,strong,0.5613,2.0196019666666665,,
4,GYPA,Tier 1,direct,high,strong,0.5405,3.306031566666667,1,
5,IGF2,Tier 3,indirect,low,moderate,0.5305,3.452315566666668,,
6,TMCC2,Tier 2,direct,moderate,moderate,0.5254,2.760081200000001,1,
7,HEMGN,Tier 1,direct,high,strong,0.4553,2.943764233333332,2,
8,CISD2,Tier 1,direct,moderate,strong,0.4454,2.413650433333335,,
9,TCF3,Tier 2,indirect,moderate,moderate,0.4273,1.5078762333333318,,
10,STOM,Tier 2,direct,moderate,moderate,0.3877,1.6270079666666657,,
11,ABCG2,Tier 2,indirect,moderate,moderate,0.3245,2.329936766666666,,
